Model Name,Anti-Use,Created,Failure Modes,Last Verified,Leverage Type,Linked Questions,Model Type,Reuse Count,Steps,When to Use
【芒格宝典】专题三：逆向思考、能力圈与普世智慧,需要快速迭代的试错场景不必过度“等待”；但仍需保留出局线，避免一次性归零。,2026年5月15日 12:15,只想如何赢不想如何不死；跨圈击球；频繁操作导致摩擦与错误累积；把耐心当懒散而不是筛选；用谎言维持人设导致成本爆炸。,2026年5月9日,,,Meta,0,"1) Invert：先列“会让我破产/崩掉/后悔”的死法清单
2) 能力圈：明确我懂什么/不懂什么（边界写出来）
3) 设出手条件：赔率高 + 在能力圈 + 有安全边际
4) 其他时间：学习/观察/等待（不乱动）
5) 诚实原则：用低成本真实减少系统摩擦",用于投资/职业/项目的长期策略：用逆向思考先避开“死法”，用能力圈限定可下注范围，用极端耐心只在高赔率时出手。
【纳瓦尔宝典】专题三：绝对自由与内心平静（幸福哲学）,,2026年5月15日 12:15,,,,,Meta,0,,
【乔布斯宝典】专题一：现实扭曲力场与极致的“不”,,2026年5月15日 12:15,,,,,Meta,0,,
【塔勒布宝典】专题三：风险共担与否定法（减法智慧）,需要快速发散创造/探索时，不要用过强的否定法把试错空间压没；先限定范围再过滤。,2026年5月15日 12:15,只听观点不看代价；加法上瘾导致系统膨胀；把否定法写成哲学不落清单；用新奇信息喂自己导致噪声；把“名气”当可靠性。,2026年5月9日,,,Meta,0,"1) 问 Skin in the Game：对方承担什么代价？
2) 先做减法：列“不做清单”并写成规则
3) 用 Lindy 过滤信息：优先长期存活的经典
4) 把规则落到日历/环境/权限（能执行）",用于识人/过滤建议（尤其是投资、医疗、职业建议）；用于把健康/执行/风险管理做成“减法防火墙”；用于信息输入白名单。
Munger 多学科思维模型格栅｜费曼笔记,,2026年5月15日 12:15,把格栅当阅读材料→无法调用；模型太多不收敛→行动瘫痪；只选顺眼模型→确认偏误；没有输出卡片→无复用,2026年3月27日,,,Meta,0,"1) 先定题型与目标函数（方向/优化/下注）
2) 过7透镜：复利/临界质量/进化/激励偏差/机会成本/安全边际/反馈回路
3) 找1个关键约束：出局线或瓶颈变量
4) 输出一张卡：结论+反证+下一步实验",遇到复杂问题需要多模型交叉校验；写内容/做决策需要快速筛选变量；避免单一解释
【富兰克林宝典】专题三：跨学科通才与极度务实主义,,2026年5月15日 12:15,,,,,Content,0,,
【乔布斯宝典】专题二：科技与人文的十字路口（产品第一性）,,2026年5月15日 12:15,,,,,Content,0,,
【Ali Abdaal】专题二：Creatorpreneur（创作者企业家）商业模型,,2026年5月15日 12:15,,,,,Content,0,,
【Dan Koe】专题一：一人企业（One-Person Business）的商业哲学,,2026年5月15日 12:15,,,,,Content,0,,
乔布斯｜产品品味引擎（专注×人文×直觉）,不能用现实扭曲力场包装自欺、压榨或无证据妄想；高风险决策必须先过事实、用户反馈与不出局线。,2026年5月15日 12:15,只学霸道不学品味；把专注误解成闭门造车；无视用户真实摩擦；沉迷美学不交付；用愿景替代证据；把直觉当事实。,2026年5月10日,Media,,Content,0,"1) 砍掉非主线项目
2) 写用户完整体验路径
3) 把设计定义为工作方式
4) 用死亡问题过滤目标
5) 用最小产品验证品味",产品、内容、个人品牌、交互体验、战略取舍时。用极致拒绝保护主线，用人文品味降低用户摩擦，用向死而生过滤伪目标。
注意力套利｜弱共识流量引擎（叙事×漏斗×边界）,灰色规则、违法、欺骗、黑红损害长期信任时一票否决；无产品/交付承接时不要追流量。,2026年5月15日 12:15,把争议当目标；注意力无漏斗；追热点沉淀为零；短期黑红破坏长期信任；例证当证据；叙事超过交付能力。,2026年5月10日,Media,,Content,0,"1) 识别弱共识窗口
2) 写合法与信任边界
3) 设计强钩子+证据块
4) 建注意力→资产漏斗
5) 复盘转化而非只看曝光",内容冷启动、产品发布、个人 IP、热点借势、弱共识赛道验证时。用争议或新叙事获取注意力，再用交付漏斗沉淀资产。
